epoch,n_box,n_dfl
267,0.69866,0.91924
268,0.70301,0.91929
269,0.70614,0.92111
270,0.71052,0.92397
271,0.70614,0.92329
272,0.70606,0.92506
273,0.70535,0.92031
274,0.69436,0.91443
275,0.70597,0.92248
276,0.70098,0.91834
277,0.6929,0.91071
278,0.70283,0.91579
279,0.70265,0.91624
280,0.70094,0.91572
281,0.69259,0.92168
282,0.69991,0.9185
283,0.68701,0.91491
284,0.68986,0.91663
285,0.68841,0.91363
286,0.6899,0.91455
287,0.69866,0.91326
288,0.69619,0.9093
289,0.68454,0.9165
290,0.70681,0.92416
291,0.69212,0.914
292,0.68681,0.91316
293,0.68532,0.91417
294,0.69592,0.91406
295,0.67461,0.90918
296,0.70258,0.92036
297,0.68309,0.91102
298,0.70544,0.92064
299,0.68392,0.91745
300,0.69521,0.91671
301,0.68676,0.91482
302,0.6797,0.91394
303,0.6741,0.9139
304,0.69944,0.92317
305,0.68489,0.91675
306,0.68337,0.91648
307,0.67656,0.90958
308,0.70019,0.91157
309,0.67343,0.91378
310,0.67668,0.90878
311,0.65581,0.90218
312,0.67936,0.91087
313,0.68019,0.91149
314,0.68672,0.91103
315,0.67348,0.91096
316,0.66739,0.9062
317,0.69241,0.91354
318,0.67633,0.9121
319,0.67851,0.90702
320,0.68808,0.91488
321,0.67382,0.91356
322,0.67565,0.91513
323,0.66645,0.90582
324,0.6711,0.90973
325,0.68289,0.9184
326,0.66841,0.90514
327,0.67319,0.91224
328,0.67801,0.91086
329,0.66916,0.91188
330,0.65688,0.90254
331,0.67214,0.91172
332,0.68268,0.91137
333,0.66115,0.90479
334,0.65883,0.90716
335,0.67732,0.91416
336,0.66349,0.90859
337,0.6637,0.90761
338,0.66354,0.90967
339,0.66755,0.9072
340,0.66176,0.90564
341,0.66506,0.90907
342,0.65649,0.90026
343,0.65671,0.90236
344,0.65295,0.90429
345,0.6699,0.90635
346,0.6644,0.90591
347,0.64516,0.90278
348,0.67158,0.90924
349,0.66039,0.90073
350,0.65545,0.90812
351,0.66854,0.91271
352,0.66002,0.90364
353,0.65992,0.90655
354,0.67406,0.90685
355,0.65446,0.90523
356,0.65138,0.90281
357,0.65651,0.90324
358,0.65699,0.90357
359,0.65587,0.90697
360,0.65072,0.90068
361,0.65761,0.9053
362,0.65939,0.90381
363,0.65341,0.9013
364,0.65808,0.90419
365,0.66035,0.9039
366,0.65908,0.90436
367,0.65063,0.90486
368,0.64879,0.9014
369,0.6459,0.90493
370,0.66647,0.90643
371,0.66919,0.91453
372,0.64892,0.89664
373,0.65348,0.90204
374,0.64667,0.90292
375,0.65212,0.90104
376,0.65753,0.9077
377,0.6532,0.90539
378,0.64229,0.89634
379,0.65808,0.89915
380,0.65618,0.9093
381,0.66002,0.90184
382,0.64369,0.90025
383,0.64624,0.90759
384,0.64002,0.89364
385,0.65007,0.90911
386,0.65004,0.89976
387,0.63846,0.90254
388,0.64714,0.90334
389,0.63935,0.90026
390,0.65161,0.90198
391,0.64259,0.89856
392,0.64153,0.89637
393,0.65475,0.90285
394,0.64571,0.9042
395,0.64692,0.90009
396,0.63555,0.89687
397,0.64235,0.90212
398,0.63726,0.89576
399,0.63912,0.89907
400,0.64115,0.89706
401,0.62969,0.89547
402,0.63869,0.89864
403,0.64387,0.899
404,0.62987,0.89149
405,0.64116,0.90001
406,0.63963,0.89886
407,0.64751,0.89833
408,0.64344,0.89667
409,0.64247,0.89526
410,0.64201,0.89236
411,0.64152,0.90015
412,0.63739,0.89767
413,0.65488,0.90437
414,0.63147,0.89146
415,0.64402,0.89968
416,0.62275,0.89424
417,0.62895,0.89524
418,0.62913,0.89395
419,0.63162,0.89026
420,0.6416,0.89562
421,0.63996,0.89822
422,0.63367,0.9026
423,0.63031,0.89522
424,0.62323,0.89259
425,0.63303,0.89542
426,0.64045,0.90153
427,0.64111,0.89627
428,0.64576,0.89913
429,0.62973,0.90095
430,0.63254,0.8971
431,0.62749,0.89404
432,0.63272,0.89492
433,0.63576,0.89951
434,0.63025,0.89682
435,0.63013,0.89082
436,0.61781,0.8934
437,0.64205,0.90086
438,0.63666,0.90142
439,0.63111,0.89832
440,0.63154,0.90193
441,0.62687,0.89284
442,0.61771,0.89559
443,0.62837,0.89627
444,0.62507,0.89938
445,0.62303,0.88807
446,0.62898,0.89609
447,0.62116,0.89201
448,0.62456,0.89111
449,0.62809,0.89242
450,0.62501,0.89964
451,0.61883,0.89241
452,0.62278,0.89229
453,0.61742,0.88805
454,0.6336,0.89707
455,0.62837,0.89596
456,0.62138,0.89234
457,0.63461,0.89642
458,0.62698,0.89312
459,0.62558,0.89073
460,0.63192,0.89345
461,0.61378,0.89182
462,0.6232,0.89596
463,0.60732,0.88711
464,0.62139,0.89344
465,0.62638,0.89724
466,0.61896,0.88801
467,0.62697,0.89968
468,0.6058,0.88805
469,0.63015,0.89731
470,0.61622,0.88692
471,0.61492,0.89286
472,0.61982,0.89308
473,0.63059,0.89695
474,0.62205,0.89352
475,0.61389,0.89292
476,0.61798,0.89131
477,0.60971,0.8904
478,0.60568,0.8881
479,0.61757,0.89253
480,0.62163,0.89604
481,0.63586,0.89923
482,0.60676,0.88775
483,0.61504,0.89639
484,0.61893,0.89061
485,0.61765,0.88997
486,0.61739,0.8908
487,0.62244,0.89175
488,0.61925,0.88937
489,0.6017,0.89433
490,0.61813,0.89197
491,0.6063,0.88209
492,0.59834,0.88553
493,0.58096,0.87676
494,0.57448,0.87714
495,0.58553,0.87653
496,0.57809,0.87828
497,0.55855,0.87015
498,0.57046,0.87454
499,0.54963,0.86026
500,0.55894,0.86871
