epoch,n_box,n_dfl,s_box,s_dfl,m_box,m_dfl,l_box,l_dfl,x_box,x_dfl
62,0.94783,1.0187,0.78709,0.961,0.68319,0.95015,0.61082,0.93163,0.58273,0.92558
63,0.94277,1.0154,0.78368,0.96093,0.68941,0.94113,0.61378,0.92694,0.58481,0.91515
64,0.94697,1.0138,0.7962,0.96259,0.67097,0.93091,0.60282,0.92354,0.57538,0.90715
65,0.96218,1.0219,0.81525,0.96945,0.66889,0.93067,0.60175,0.92242,0.57735,0.91136
66,0.94866,1.0192,0.78619,0.96407,0.65577,0.92997,0.59914,0.92552,0.56271,0.9127
67,0.94355,1.0209,0.79066,0.96761,0.67218,0.93407,0.60111,0.91789,0.57054,0.90926
68,0.94258,1.0241,0.77138,0.95841,0.66298,0.9315,0.5982,0.91999,0.56629,0.91188
69,0.93982,1.0217,0.78355,0.96556,0.65992,0.93353,0.59024,0.91772,0.54933,0.90718
70,0.92598,1.0081,0.77095,0.95132,0.67474,0.93494,0.59854,0.92232,0.56132,0.91134
71,0.91559,1.0071,0.75761,0.94712,0.65215,0.92785,0.58661,0.91519,0.54823,0.90281
72,0.92921,1.0126,0.76229,0.95509,0.66362,0.93257,0.59151,0.91817,0.56009,0.90431
73,0.91227,1.0064,0.75224,0.95,0.64976,0.93196,0.57478,0.91688,0.5438,0.90617
74,0.9275,1.0065,0.76679,0.95176,0.63929,0.91964,0.57149,0.91184,0.53745,0.90146
75,0.93249,1.0162,0.76065,0.95355,0.64249,0.92876,0.56856,0.91086,0.53761,0.90168
76,0.92189,1.0073,0.75555,0.94929,0.64597,0.92927,0.57911,0.91349,0.54293,0.90292
77,0.90678,0.99884,0.7441,0.94321,0.64399,0.92727,0.56771,0.90915,0.54471,0.90053
78,0.92794,1.0056,0.76914,0.95131,0.6375,0.9269,0.57386,0.91433,0.54116,0.89815
79,0.922,1.0009,0.76117,0.94599,0.63496,0.91957,0.56024,0.90385,0.53588,0.89433
80,0.91935,1.0036,0.7599,0.94548,0.62281,0.91545,0.55179,0.90223,0.51872,0.89038
81,0.92189,1.0057,0.74589,0.94423,0.62432,0.91738,0.55428,0.90933,0.52775,0.89354
82,0.92165,1.0046,0.75513,0.94975,0.62828,0.91351,0.55941,0.90416,0.52749,0.88731
83,0.89873,1.0045,0.72964,0.94131,0.62892,0.91514,0.55787,0.90807,0.53155,0.89666
84,0.89256,0.98522,0.72499,0.92874,0.63094,0.92413,0.56101,0.91334,0.52984,0.90018
85,0.89616,0.9978,0.74583,0.94071,0.62085,0.9131,0.54998,0.90809,0.52458,0.89576
86,0.89939,0.99145,0.72814,0.93406,0.60598,0.90903,0.53964,0.90937,0.5116,0.89354
87,0.90574,1.005,0.7496,0.95126,0.60395,0.90627,0.54033,0.91217,0.51146,0.89183
88,0.90278,0.99322,0.73214,0.93282,0.60983,0.91021,0.53998,0.90528,0.50405,0.88785
89,0.91294,1.0054,0.73419,0.94083,0.59846,0.90427,0.52281,0.89658,0.4959,0.88059
90,0.88984,0.99746,0.72513,0.94123,0.60371,0.91036,0.53682,0.90588,0.50745,0.89461
91,0.88925,0.99808,0.72715,0.93867,0.59427,0.90207,0.53255,0.8953,0.50416,0.88795
92,0.89259,0.98695,0.72645,0.92893,0.60889,0.91511,0.53802,0.907,0.50766,0.89573
93,0.87696,0.98501,0.70397,0.92422,0.59343,0.90845,0.53331,0.90215,0.49615,0.88684
94,0.88673,0.9877,0.72389,0.9379,0.59084,0.90332,0.51489,0.88827,0.49048,0.87977
95,0.88245,0.99093,0.7151,0.93373,0.59547,0.90062,0.52857,0.89164,0.49536,0.88336
96,0.8929,0.99459,0.72051,0.93675,0.58956,0.89351,0.52725,0.88654,0.4922,0.88048
97,0.87137,0.98693,0.70579,0.92921,0.59563,0.9062,0.53299,0.90034,0.50226,0.89546
98,0.87694,0.98379,0.71102,0.92832,0.58786,0.89543,0.5196,0.89038,0.4903,0.88349
99,0.89469,0.99174,0.71531,0.92829,0.58885,0.89896,0.5262,0.89645,0.48942,0.88813
100,0.88239,0.98165,0.70354,0.92455,0.57848,0.89536,0.51178,0.8976,0.47965,0.88565
101,0.8837,0.9828,0.71313,0.92526,0.58166,0.89441,0.51546,0.89657,0.4791,0.88164
102,0.87488,0.98152,0.70575,0.92825,0.56188,0.88901,0.5031,0.89151,0.46681,0.87655
103,0.88628,0.99158,0.71187,0.93356,0.57194,0.89214,0.51671,0.89392,0.47439,0.87629
104,0.87621,0.98699,0.69797,0.92718,0.56072,0.89234,0.49224,0.88714,0.47511,0.87583
105,0.8675,0.97793,0.69222,0.92078,0.57151,0.89286,0.50881,0.88913,0.47926,0.8766
106,0.87192,0.984,0.69607,0.92449,0.58344,0.89887,0.51954,0.89334,0.48596,0.87819
107,0.8531,0.97257,0.68928,0.92017,0.55531,0.89292,0.49477,0.88657,0.46885,0.87623
108,0.87613,0.98873,0.6891,0.92394,0.55261,0.89117,0.49743,0.88191,0.46237,0.87174
109,0.86446,0.97721,0.69484,0.92493,0.57354,0.89786,0.51196,0.89269,0.47426,0.87825
110,0.88114,0.98821,0.69458,0.92656,0.56629,0.89884,0.50664,0.89267,0.47122,0.87742
111,0.8527,0.98275,0.68168,0.92632,0.55883,0.89143,0.4975,0.88096,0.46825,0.87235
112,0.8475,0.9645,0.67072,0.90983,0.55769,0.88543,0.50515,0.88317,0.47327,0.87183
113,0.85643,0.97602,0.69361,0.92395,0.55758,0.89227,0.49567,0.89021,0.46092,0.8745
114,0.86943,0.97865,0.68749,0.92206,0.5422,0.88592,0.48628,0.87675,0.45098,0.86992
115,0.85823,0.97636,0.68407,0.91792,0.55203,0.88848,0.48509,0.87762,0.45519,0.86869
116,0.85369,0.9773,0.67599,0.92048,0.55535,0.89114,0.48607,0.88183,0.46181,0.87389
117,0.84012,0.97203,0.65791,0.91246,0.54483,0.88536,0.48934,0.88188,0.45993,0.87123
118,0.83603,0.96172,0.66263,0.90548,0.55301,0.88854,0.48266,0.88279,0.45605,0.87232
119,0.85253,0.97508,0.67679,0.91535,0.54696,0.88556,0.48183,0.87471,0.45614,0.87487
120,0.84396,0.97558,0.66754,0.91864,0.54901,0.8864,0.48166,0.88049,0.45505,0.87702
121,0.84612,0.97348,0.67341,0.91517,0.54697,0.88761,0.4848,0.88096,0.44854,0.87413
122,0.82922,0.97226,0.6474,0.91227,0.53212,0.88024,0.4744,0.87527,0.44493,0.86873
